,polymer_id,abbreviation,topsis_ideal_distance,topsis_anti_ideal_distance,topsis_cl,topsis_rank,polymer_name
1,POL-002-2026,PVP_VA_64,0.08241639361279776,0.8507767530484154,0.911683455983718,1,PVP-Vinyl Acetate 64
3,POL-006-2026,HPMC_E5,0.47400409371955776,0.4902352132480198,0.5084165411071588,2,Hydroxypropyl Methylcellulose E5
0,POL-001-2026,PVP_K30,0.6560133902706802,0.39022062133687385,0.37297642497522526,3,Polyvinylpyrrolidone K30
2,POL-004-2026,EDR_L100,0.7822145208268325,0.23496499937165982,0.23099658880844234,4,Eudragit L100
