,polymer_id,abbreviation,topsis_ideal_distance,topsis_anti_ideal_distance,topsis_cl,topsis_rank,polymer_name
3,POL-005-2026,SOLUPLUS,0.3235034398880975,0.9034589237989848,0.7363379273379228,1,Soluplus
4,POL-006-2026,HPMC_E5,0.31156886957267355,0.6746059747360333,0.6840632557494626,2,Hydroxypropyl Methylcellulose E5
1,POL-002-2026,PVP_VA_64,0.484852953730242,0.494612513147383,0.5049820844874975,3,PVP-Vinyl Acetate 64
0,POL-001-2026,PVP_K30,0.5774374955017395,0.45909943330819697,0.4429166202841378,4,Polyvinylpyrrolidone K30
2,POL-007-2026,EDR_EPO,0.959686095962783,0.0,0.0,5,Eudragit E PO
