,polymer_id,abbreviation,topsis_ideal_distance,topsis_anti_ideal_distance,topsis_cl,topsis_rank,polymer_name
2,POL-CUSTOM-REGRESSION-888,CUST_BIO_888,0.3738457460186977,0.9367196754938456,0.7147446896720069,1,My Custom BioPolymer Carrier
1,POL-005-2026,SOLUPLUS,0.5743224892199351,0.5653458700382558,0.4960617406332478,2,Soluplus
0,POL-007-2026,EDR_EPO,1.0312062595264941,0.0,0.0,3,Eudragit E PO
