,polymer_id,abbreviation,topsis_ideal_distance,topsis_anti_ideal_distance,topsis_cl,topsis_rank,polymer_name
4,POL-005-2026,SOLUPLUS,0.20683569212565608,0.6630494778296362,0.7622264417540462,1,Soluplus
2,POL-003-2026,HPMCAS_L,0.21123275234853742,0.6704321564022152,0.7604160602832236,2,HPMC Acetate Succinate Low
1,POL-002-2026,PVP_VA_64,0.279093619116461,0.5081175883716329,0.645465389133599,3,PVP-Vinyl Acetate 64
0,POL-001-2026,PVP_K30,0.5331679313786462,0.4069930625432963,0.4328972007714322,4,Polyvinylpyrrolidone K30
5,POL-006-2026,HPMC_E5,0.5716837312978998,0.2292351947149987,0.2862152301184439,5,Hydroxypropyl Methylcellulose E5
3,POL-004-2026,EDR_L100,0.6981822829257848,0.12504447261379328,0.15189554004696287,6,Eudragit L100
