,polymer_id,abbreviation,topsis_ideal_distance,topsis_anti_ideal_distance,topsis_cl,topsis_rank,polymer_name
2,POL-CUSTOM-REGRESSION-888,CUST_BIO_888,0.3764356075051972,0.9375297287385441,0.7135117669227705,1,My Custom BioPolymer Carrier
1,POL-005-2026,SOLUPLUS,0.567515482165607,0.5691459261934768,0.5007172074356881,2,Soluplus
0,POL-007-2026,EDR_EPO,1.0314909732634021,0.0,0.0,3,Eudragit E PO
