topsis_rank,polymer_id,polymer_name,abbreviation,topsis_cl,p_top1_percent
1,POL-006-2026,Hydroxypropyl Methylcellulose E5,HPMC_E5,0.8359112438004078,42.4
2,POL-005-2026,Soluplus,SOLUPLUS,0.6943422648258154,35.0
3,POL-001-2026,Polyvinylpyrrolidone K30,PVP_K30,0.5493675017870734,13.3
4,POL-002-2026,PVP-Vinyl Acetate 64,PVP_VA_64,0.47025629791164897,3.2
5,POL-007-2026,Eudragit E PO,EDR_EPO,0.09050149730028252,6.1
