,polymer_id,abbreviation,topsis_ideal_distance,topsis_anti_ideal_distance,topsis_cl,topsis_rank,polymer_name
4,POL-006-2026,HPMC_E5,0.15617840250455678,0.7956138233721912,0.8359112438004079,1,Hydroxypropyl Methylcellulose E5
3,POL-005-2026,SOLUPLUS,0.3822661559243256,0.8683684982468969,0.6943422648258153,2,Soluplus
0,POL-001-2026,PVP_K30,0.4592717296104521,0.5598996160687572,0.5493675017870735,3,Polyvinylpyrrolidone K30
1,POL-002-2026,PVP_VA_64,0.5062927873276735,0.4494387963264038,0.47025629791164897,4,PVP-Vinyl Acetate 64
2,POL-007-2026,EDR_EPO,0.9158716125052487,0.09113566654646343,0.09050149730028258,5,Eudragit E PO
