factor_name,factor_type,max_mu_star_cl,max_mu_star_rank,mu_star_cl_POL-001-2026,sigma_cl_POL-001-2026,mu_cl_POL-001-2026,mu_star_rank_POL-001-2026,sigma_rank_POL-001-2026,mu_star_cl_POL-002-2026,sigma_cl_POL-002-2026,mu_cl_POL-002-2026,mu_star_rank_POL-002-2026,sigma_rank_POL-002-2026,mu_star_cl_POL-007-2026,sigma_cl_POL-007-2026,mu_cl_POL-007-2026,mu_star_rank_POL-007-2026,sigma_rank_POL-007-2026,mu_star_cl_POL-005-2026,sigma_cl_POL-005-2026,mu_cl_POL-005-2026,mu_star_rank_POL-005-2026,sigma_rank_POL-005-2026,mu_star_cl_POL-006-2026,sigma_cl_POL-006-2026,mu_cl_POL-006-2026,mu_star_rank_POL-006-2026,sigma_rank_POL-006-2026
score_POL-007-2026_s_HSP,score,0.21103371457042736,1.95,0.06960294685264305,0.0834124563777287,0.023171576756671603,1.35,1.106797181058933,0.10131412557141277,0.1064809811675031,0.062127124105305506,0.9,1.4142135623730951,0.21103371457042736,0.11850106874140985,0.19823741454807747,1.95,2.1272047386182646,0.08656365120794345,0.0952745559851047,0.04237272269472867,0.45,0.7245688373094719,0.05289861141366177,0.05925890572226355,0.026658686918678738,0.45,0.85146931829632
score_POL-007-2026_s_desc,score,0.19070590963221373,1.05,0.15780824765703755,0.1403830538139128,0.1430147531951603,0.75,1.2349089035228469,0.19070590963221373,0.23979414427588722,0.15313718888053743,1.05,1.5890248582070703,0.16270515701430913,0.20009698347237256,0.16078419855321052,1.05,2.2416511771459895,0.11597774057872881,0.1339746963468793,0.06999786704006047,1.05,1.4577379737113252,0.14651966278451967,0.179065074008899,0.0643135035916836,0.6,0.7745966692414834
score_POL-005-2026_s_HSP,score,0.16649933261403907,1.65,0.08714641104991867,0.12902833515682455,0.0004755509353933485,0.6,0.9486832980505138,0.12267999002434857,0.19938730236218763,-0.0030641070894864147,0.75,1.0124228365658294,0.11490448156188197,0.16456341418772938,-0.002670934900079758,0.6,0.7745966692414834,0.16649933261403907,0.17161214835064056,0.12056237215355745,1.65,1.4916433890176297,0.07793607380699243,0.12399265301685397,0.0035208027227272122,0.6,0.9486832980505138
score_POL-002-2026_s_HSP,score,0.13648572138306367,1.8,0.09032354815406404,0.16112567744718642,-0.05672240032962643,1.05,1.4230249470757708,0.13648572138306367,0.1837187168989619,0.03605419086060194,1.8,1.7029386365926402,0.12155040004660242,0.2566350892296334,-0.1045978602379833,1.2,2.1447610589527217,0.06793669134783523,0.0900411857066987,-0.05450395976544843,1.05,1.0606601717798212,0.04720763279906519,0.06918803304187798,0.0011197709514295328,1.2,1.8439088914585775
score_POL-006-2026_s_desc,score,0.12654893038773968,1.2,0.04658621395874506,0.06561348354848272,0.01182794972901704,1.2,1.8439088914585775,0.07659425474697586,0.11751366507816784,0.04875131850384435,0.15,0.47434164902525694,0.08653415947764861,0.1235564421007154,0.041142218615934784,0.45,0.7245688373094719,0.08820770933529878,0.12238683884760622,0.06851498069440265,0.15,0.47434164902525694,0.12654893038773968,0.11856925828537805,0.12050649558830287,0.45,0.7245688373094719
score_POL-001-2026_s_desc,score,0.11809126624060606,1.5,0.048064302546884444,0.06900752033521453,0.00025034522839024743,1.5,1.4142135623730951,0.11809126624060606,0.17934857129040055,-0.1150039121792168,0.6,1.1832159566199232,0.06793459977692495,0.0878383382719038,-0.046228107400325284,0.15,0.47434164902525694,0.10914215363707255,0.11148570268147615,-0.1056929039208617,0.45,1.0124228365658294,0.08420473227707018,0.11054555502014148,-0.08420473227707018,0.6,0.7745966692414834
score_POL-006-2026_s_HSP,score,0.11472745039874359,2.25,0.05183204595943229,0.05702351850242863,-0.029536464137636376,0.75,1.0606601717798212,0.076134993997531,0.09727518752388017,-0.04407623248500821,0.45,0.7245688373094719,0.0746393002437545,0.11445025356233848,-0.05622279325832824,0.45,1.106797181058933,0.11472745039874359,0.134355501435276,-0.08401766003293665,1.2,1.5491933384829668,0.10790017110618719,0.07715873688519195,0.10675900601472543,2.25,1.620185174601965
score_POL-001-2026_s_HSP,score,0.1010365436357223,1.95,0.1010365436357223,0.07971507425415665,0.09947598921946842,1.95,1.8774983355518586,0.0423222480219002,0.055502039907385003,-0.009968500771967082,0.6,1.0488088481701514,0.04545466660047552,0.060868194153886404,-0.01971320552988549,0.75,0.7905694150420949,0.06440293385938407,0.11351710666082683,-0.028171512800618793,0.9,1.2649110640673518,0.0373945786908071,0.047765053705485824,-0.005297294797804247,0.6,1.0
score_POL-005-2026_s_desc,score,0.09871012169857954,1.8,0.04478467215064561,0.060112532147249195,-0.0007246346988301316,0.45,0.8514693182963201,0.062389966934089734,0.1058303244533377,0.0017162594568175481,0.6,1.0,0.03410756755455613,0.050439476667958213,-0.0026571999465420187,0.3,0.6324555320336759,0.09871012169857954,0.10795973533218382,0.08956627062016338,1.8,1.8439088914585775,0.06927020673024886,0.12791292013831065,-0.05106767583344678,1.35,1.4916433890176297
score_POL-002-2026_s_desc,score,0.08891289027547299,0.9,0.08891289027547299,0.11814234387564145,-0.0686665868396204,0.9,1.2649110640673518,0.08509292499679727,0.10504279237012945,0.028263685984067356,0.9,0.7745966692414834,0.04793838032786123,0.06325821162840801,-0.01406379020902282,0.45,1.0124228365658294,0.07256985168501219,0.08880473701247592,-0.06739431343249805,0.3,0.6324555320336759,0.08153962122996275,0.10200100539095838,-0.06605264255605488,0.45,0.7245688373094719
