,polymer_id,abbreviation,topsis_ideal_distance,topsis_anti_ideal_distance,topsis_cl,topsis_rank
4,POL-005-2026,POL-005-2026,0.20132439972428,0.7038385516032278,0.7775821475801472,1
2,POL-003-2026,POL-003-2026,0.22788007585984948,0.6311018931095516,0.7347091276744051,2
1,POL-002-2026,POL-002-2026,0.305701575106238,0.5177985760197286,0.6287777546995539,3
0,POL-001-2026,POL-001-2026,0.5400380995973019,0.4014348914080261,0.42639023662204484,4
5,POL-006-2026,POL-006-2026,0.6083843485113785,0.20345657335778164,0.2506113794921163,5
3,POL-004-2026,POL-004-2026,0.7205586217520539,0.1464470781172874,0.16891132104363,6
